Job_ID,Name,Company,Contact_Info,Degree/Experience,Requirements,Salary
1001,Software developers,Google,googlejobs@gmail.com,Software Enginering Degree,GPA of 3.0+,"$10,000.00"
1002,Database administrators,Vikings Development,devops@gmail.com,Basic Web Development,must have a personal websites,"$10,650.00"
1003,Information Security Analyst,Microsoft,microsofthire@hotmail.com,Cape Computer Science,must have minium of 2 personal projects,"$15,000.00"
1004,Computer System Analyst,Sony,sonyHR@yahoo.com,Degree in Games Development,must have minium of 2 personal games,"$17,500.00"
1005,Computer Network Architect,Facebook,meta@facebook.com,Cyber Security Degree,GPA of 3.0+,"$20,000.00"
1006,Web Developer,Amazon,amazon.jobs@amazon.com,Advanced Web Development,GPA of 3.0+,"$10,000.00"
1007,Information Security Analyst,Twitter,twitter.jobs@twitter.com,Undergraduate Degree ,must have a personal websites,"$10,650.00"
1008,Computer Network Architect,Google,google.jobs@gmail.com,Master Degree in Computer Science,must have minium of 2 personal projects,"$15,000.00"
1009,Computer and Information Research Scientist,Yarra,yarra.jobs@gmail.com,Undergraduate Degree ,must have minium of 2 personal games,"$17,500.00"
1010,Systems Analyst,Flow,flowjobs@flow.com,Undergraduate Degree ,GPA of 3.0+,"$20,000.00"
1011,Games Developer,Netflix,netflix.jobs@netflix.com,Game Development Degree,GPA of 3.0+,"$38,000.00"
1012,Forensic Computer Analyst,Republic Bank ,rB.jobs@republic.com,Master Degree in Computer Science,must have a personal websites,"$10,000.00"
1013,Multimedia programmer,Nvidia,nvidia.jobs@nvidia.com,University Degree in Computer Science,must have minium of 2 personal projects,"$12,000.00"
1014,Search Engine Optimisation (SEO) Specialist,Google,google.jobs@gmail.com,Master Degree in Computer Science,must have minium of 2 personal games,"$13,000.00"
1015,Cyber Security Analyst,Cyber Security & Anti Crime Services,CSA.jobs@csa.com,Master Degree in Computer Science,GPA of 3.0+,"$11,111.00"
1016,Software developers,YouTube,info@gmail.com,Master Degree in Computer Science,GPA of 3.0+,"$10,650.00"
1017,Database administrators,University of the West Indies,dcit@sta.uwi.edu,Undergraduate Degree in Computer Science,must have a personal websites,"$15,000.00"
1018,Information Security Analyst,Google,google@gmail.com,Undergraduate Degree in Computer Science,must have minium of 2 personal projects,"$17,500.00"
1019,Computer System Analyst,Facebook,meta@facebook.com,Advanced Web Development,must have minium of 2 personal games,"$20,000.00"
1020,Computer Network Architect,Microsoft,microsofthire@hotmail.com,Advanced Web Development,GPA of 3.0+,"$10,000.00"
1021,Information Security Analyst,Samsung,samsung.jobs@gmail.com,Cape Computer Science,GPA of 3.0+,"$10,650.00"
1022,Computer Network Architect,Nokia,nokiaJob@hotmail.com,Cape Computer Science,must have a personal websites,"$15,000.00"
1023,Computer and Information Research Scientist,Logitech,logitechrecruitment@gogo.com,Master Degree in Computer Science,must have minium of 2 personal projects,"$17,500.00"
1024,Computer Network Architect,Apple,applehiring@opera.com,Cape Computer Science,must have minium of 2 personal games,"$20,000.00"
1025,Web Developer,Nike,nikeweb@webdesign.com,Advanced Web Development,GPA of 3.0+,"$38,000.00"
1026,Information Security Analyst,Addidas,shoe@gmail.com,Cape Computer Science,GPA of 3.0+,"$10,000.00"
1027,Computer Network Architect,Ministry of Education,jobs@moe.gov.tt,Cape Computer Science,must have a personal websites,"$12,000.00"
